ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDateTime,VmvCode,VariableCode,VariableName,MeasurementFlag,MeasurementValue,UnitCode,SampleDetectLimit,MeasurementComment,MeasurementQualifier,MeasurementQualifierDescription,MeasurementQualifierComment,MethodCode,MethodDetectionLimit,LabCode
ABS036,11SWE01946,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,Snails floating in water column. Water level up drastically due to recent rain. Docks submerged small creek backed up. Apham. very previlant. Very calm and humid no boat traffic. North basin not as green as south but got very green at Northern tip of basin. 15-point comp taken,07/13/2011 12:30:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE01987,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,15 pt comp,08/02/2011 12:30:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE02133,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,"Lots of apham in water column (more present in north basin than south), got clumpy towards north end. No winklers taken. 10 pt comp",09/01/2011 11:30:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE04570,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,,09/13/2011 13:30:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE02267,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,"cleared up, bit more windy on this basin. Water color more brown on this basin. Practiced with the torch for cyano radings. Refer to back of south basin sheet. Collected ICPMS metals and Hg at 0.1m and 13m with regular kemmerer",10/18/2011 14:00:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE00965,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,water has very small amounts of algea. Yellowish water. Inflow at boat launch was flowing. Some cladophora or filamentous algea clumps near profile.,05/30/2013 12:20:00,9107,532,FLUORIDE DISSOLVED,,0.1,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01062,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,North Basin has slightly more algae than the south. Apham. definitely firing up for the summer. Chla probe values are really jumping.,06/27/2013 13:30:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01125,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,Greener on this basin - more aphan starting to clump into small balls.  Chlorophyll # bouncing.,07/16/2013 15:00:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01274,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,Hg & Metals taken @ suface and 1m off bttm (used Kemmerer for bttm). Lots of apham in water column not clumping yet. 15 pt comp. No winklers taken. Chl-a mmnt. very unstable.,08/07/2013 12:00:00,9107,532,FLUORIDE DISSOLVED,,0.11,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01331,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,15 point composite.  lots of aphan present,08/27/2013 14:00:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01440,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,,09/24/2013 11:45:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01590,MAC,ATH,07BE,1,AB07BE0830,"BAPTISTE LAKE, NORTH BASIN COMPOSITE",54.78333,-113.55,0,13,133,N,"No substrate samplers.  Docks pulled from the water.  Some aphan.  Cloudy, windy, cool",10/21/2013 13:00:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,12SWE00908,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.76667,-113.55,0,1,25,N,,03/15/2012 14:00:00,9107,532,FLUORIDE DISSOLVED,,0.16,mg/L,0.02,,,,,358,0.02,26
ABS036,12SWE00914,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.76667,-113.55,0,1,25,N,,03/15/2012 14:15:00,9107,532,FLUORIDE DISSOLVED,,0.15,mg/L,0.02,,,,,358,0.02,26
ABS036,12SWE00923,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.76667,-113.55,0,1,25,N,,03/15/2012 14:30:00,9107,532,FLUORIDE DISSOLVED,,0.18,mg/L,0.02,,,,,358,0.02,26
ABS036,14SWE00932,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.76667,-113.55,0,1,25,N,Pumped metals and Hg samples because kemmerer was broken.,03/11/2014 12:30:00,9107,532,FLUORIDE DISSOLVED,,0.14,mg/L,0.02,,,,,358,0.02,26
ABS036,14SWE00939,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.76667,-113.55,0,1,25,N,pumped metals,03/11/2014 12:45:00,9107,532,FLUORIDE DISSOLVED,,0.14,mg/L,0.02,,,,,358,0.02,26
ABS036,14SWE00947,MAC,ATH,07BE,1,AB07BE0840,"BAPTISTE LAKE, NORTH BASIN PROFILE",54.76667,-113.55,0,1,25,N,Hg and Metals pumped from Bttm,03/11/2014 13:00:00,9107,532,FLUORIDE DISSOLVED,,0.14,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE01710,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,"sunnier than last basin, weird sacchi readings",05/30/2011 12:30:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE01764,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,Aphan in water column. Lots of poplar fuzz on surface of water. Some foam on surface,06/21/2011 11:00:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE01912,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,Similar to north basin but with more algae and more clumping. Major die off algal bloom in north-central part of lake. Lots of small bubbles and smell of fresh corn husles. Fluorescent blue green color present on surface. Had to do ten point comp. due to throttle problem on boat. Only used the euphotic tubing 4 out of 10 grabs. Used chloro bottle for other 6 grabs while moving very slowly,07/13/2011 14:30:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE02016,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,"nice sunny day, lots of apham in water. 15 pt comp boaters and jet skiers on water",08/02/2011 13:45:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE02156,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,"10 pt comp, lots of apham, no winklers",09/01/2011 12:45:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE04534,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,,09/13/2011 11:30:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,11SWE02231,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,use regular kemmerer to collect opals at 0.1m and 24m for ICPMS metals and Hg,10/18/2011 11:45:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE00994,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,Light meter suspect because est. value was 5m for euphotic depth and the light readings passed that depth and still did not reach the 1% light value.. Thunder storm coming. Abandon algae tourch reading. Abreviated comp back to launch. No Veliger hauls. More visable algea than north basin.,05/30/2013 14:50:00,9107,532,FLUORIDE DISSOLVED,,0.1,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01090,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,Sunny day. 20-30km/hr W winds. Lots of Apham & Boaters on lake. Euph is 60% less than last month. Veliger hauls done first time in south basin. Substrate sampler deployed at baptiste ck. outflow N.basin.,06/27/2013 11:30:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01148,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,"Small clouds moving past while doing light readings, had to wait.  Lots of Aphan.  Wind picked up 20-25km/hr while on South Basin",07/16/2013 12:15:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01301,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,Hg & Metals top & bttm samples taken (bttm taken with Kemmerer). Little balls of blue/green algae. No winkler chemicals.,08/07/2013 14:30:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01358,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,15 point composite.  Large mats/clumps of algae.,08/27/2013 11:30:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01465,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,,09/24/2013 15:00:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS036,13SWE01552,MAC,ATH,07BE,1,AB07BE0820,"BAPTISTE LAKE, SOUTH BASIN COMPOSITE",54.75,-113.55,0,13,133,N,,10/21/2013 14:00:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS036,12SWE00882,MAC,ATH,07BE,1,AB07BE0850,"BAPTISTE LAKE, SOUTH BASIN PROFILE",54.74639,-113.55167,0,1,25,N,,03/15/2012 11:15:00,9107,532,FLUORIDE DISSOLVED,,0.15,mg/L,0.02,,,,,358,0.02,26
ABS036,12SWE00893,MAC,ATH,07BE,1,AB07BE0850,"BAPTISTE LAKE, SOUTH BASIN PROFILE",54.74639,-113.55167,0,1,25,N,,03/15/2012 11:30:00,9107,532,FLUORIDE DISSOLVED,,0.14,mg/L,0.02,,,,,358,0.02,26
ABS036,12SWE00905,MAC,ATH,07BE,1,AB07BE0850,"BAPTISTE LAKE, SOUTH BASIN PROFILE",54.74639,-113.55167,0,1,25,N,,03/15/2012 11:45:00,9107,532,FLUORIDE DISSOLVED,,0.15,mg/L,0.02,,,,,358,0.02,26
ABS036,14SWE00948,MAC,ATH,07BE,1,AB07BE0850,"BAPTISTE LAKE, SOUTH BASIN PROFILE",54.74639,-113.55167,0,1,25,N,Warmer temps the past few days.  Lots of melting occuring.  Pumped metals and Hg samples b/c kemmerer was broken,03/11/2014 10:30:00,9107,532,FLUORIDE DISSOLVED,,0.14,mg/L,0.02,,,,,358,0.02,26
ABS036,14SWE00959,MAC,ATH,07BE,1,AB07BE0850,"BAPTISTE LAKE, SOUTH BASIN PROFILE",54.74639,-113.55167,0,1,25,N,Metals pumped (kemmerer broken),03/11/2014 10:45:00,9107,532,FLUORIDE DISSOLVED,,0.14,mg/L,0.02,,,,,358,0.02,26
ABS036,14SWE00971,MAC,ATH,07BE,1,AB07BE0850,"BAPTISTE LAKE, SOUTH BASIN PROFILE",54.74639,-113.55167,0,1,25,N,Metals Pumped,03/11/2014 11:00:00,9107,532,FLUORIDE DISSOLVED,,0.14,mg/L,0.02,,,,,358,0.02,26
ABS020,12SWE10027,SAS,BAT,05FA,1,AB05FA0460,"BATTLE LAKE, COMPOSITE",52.97718,-114.20948,0,13,133,N,Wind Speed: 5 km/h. Wind Dir: W. %Cloud: 0. Waves: Ripples. -- @ lake with TSAG. Great day. High water level right now. A few boats fishing. -- Microcystin ID#: M120016,06/12/2012 09:45:00,9107,532,FLUORIDE DISSOLVED,,0.11,mg/L,0.02,,,,,358,0.02,26
ABS020,12SWE10743,SAS,BAT,05FA,1,AB05FA0460,"BATTLE LAKE, COMPOSITE",52.97718,-114.20948,0,13,133,N,"Wind Speed: 0 km/h. Wind Direction: N/A. %Cloud: 20%. Waves: 5 cm. -- A lot greener than the last sample trip. A few boats out fishing. Saw about 10-12 dead whitefish, looks like a possible fish kill. -- Microcystin ID#: M120014",08/13/2012 09:30:00,9107,532,FLUORIDE DISSOLVED,,0.1,mg/L,0.02,,,,,358,0.02,26
ABS020,12SWE11256,SAS,BAT,05FA,1,AB05FA0460,"BATTLE LAKE, COMPOSITE",52.97718,-114.20948,0,13,133,N,Wind Speed: 4 km/h. Wind Dir: E. %Cloud: 0%. Waves: 5 cm. -- Still lots of cyanobacteria on the surface by the boat launch. Several boats out fishing. Large amounts on surface. Streaking and in clumps. East end solid coating of cyanobacteria. Would warrant an advisory. ESRD out doing electrofishing. -- Microcystin ID#: M120012,09/21/2012 10:30:00,9107,532,FLUORIDE DISSOLVED,,0.13,mg/L,0.02,,,,,358,0.02,26
ABS163,13SWE03826,SAS,BAT,05FA,1,AB05FA0460,"BATTLE LAKE, COMPOSITE",52.97718,-114.20948,0,13,133,N,"Steady rain, no light meter reading. Used 2x secchi for euphotic estimate. Very sparse amounts of algae. Lots of zooplankton",06/25/2013 12:00:00,103124,532,FLUORIDE DISSOLVED,,0.086,mg/L,0.02,,,,,2924,0.02,34
ABS163,13SWE03903,SAS,BAT,05FA,1,AB05FA0460,"BATTLE LAKE, COMPOSITE",52.97718,-114.20948,0,13,133,N,"sunny, calm. 15pt composite. Aphan in water",07/23/2013 15:00:00,103124,532,FLUORIDE DISSOLVED,,0.087,mg/L,0.02,,,,,2924,0.02,34
ABS163,13SWE03935,SAS,BAT,05FA,1,AB05FA0460,"BATTLE LAKE, COMPOSITE",52.97718,-114.20948,0,13,133,N,"15pt composite. Sunny, calm. Lake is really green. Water was so low, it was difficult to get harbercraft off and on trailer. ALS chemistry taken at 1m and 12m.",08/12/2013 13:00:00,103124,532,FLUORIDE DISSOLVED,,0.076,mg/L,0.02,,,,,2924,0.02,34
ABS163,13SWE04099,SAS,BAT,05FA,1,AB05FA0460,"BATTLE LAKE, COMPOSITE",52.97718,-114.20948,0,13,133,N,"Very windy, lots of foam on lake. 15pt comp. No algal torch, too windy, kept drifting",09/26/2013 12:30:00,103124,532,FLUORIDE DISSOLVED,,0.079,mg/L,0.02,,,,,2924,0.02,34
ABS163,13SWE03940,SAS,BAT,05FA,1,AB05FA0470,"BATTLE LAKE, PROFILE AT GREATEST DEPTH",52.97718,-114.20948,0,1,17,N,"""Top"" chemistry at 1m.",08/12/2013 13:05:00,103124,532,FLUORIDE DISSOLVED,,0.076,mg/L,0.02,,,,,2924,0.02,34
ABS163,13SWE03953,SAS,BAT,05FA,1,AB05FA0470,"BATTLE LAKE, PROFILE AT GREATEST DEPTH",52.97718,-114.20948,0,1,17,N,"""Bottom"" chemistry at 12m.",08/12/2013 13:10:00,103124,532,FLUORIDE DISSOLVED,,0.078,mg/L,0.02,,,,,2924,0.02,34
ABS020,14SWE10091,MAC,PEA,07GE,1,AB07GE0260,"BEAR LAKE, COMPOSITE",55.24694,-118.96056,0,13,133,N,"The lab exceeded the recommended hold time for TKN by 17 days and Dissolved Phosphorus by 17 days and Total Phosphorus by 17 days. GPS: N 55.42728 W 118.64413, Air Temp: 29, Wind Speed: 0, % Cloud: 0, Waves: 0-- Very hot and calm. Hazy and smokey air. Lots of weeds all over the lake. Lots of birds.-- Micro# M140022",07/13/2014 13:45:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,61
ABS020,14SWE10211,MAC,PEA,07GE,1,AB07GE0260,"BEAR LAKE, COMPOSITE",55.24694,-118.96056,0,13,133,N,"GPS: N55.25821 W118.96645, Air temp: 25 deg C, Wind speed: 10-15km/hr, Wind dir:SE, %cloud: 0, Waves: 0.10-- Sunny day with a light breeze. Lake is more weedy. Very green with predominatly Aphan. spp. the water level has dropped aboout a foot.--Micro# M140091",08/05/2014 11:00:00,9107,532,FLUORIDE DISSOLVED,,0.14,mg/L,0.02,,,,,358,0.02,61
ABS020,14SWE10511,MAC,PEA,07GE,1,AB07GE0260,"BEAR LAKE, COMPOSITE",55.24694,-118.96056,0,13,16,N,"Data indicates possible sediment contamination. GPS: N55.25821 W118.96645, Air temp: 10 deg C, Wind speed: 0, %cloud: 20, Waves: 0-- Calm sunnt day. No algae on surface. Lots of birds on the lake. Used Chla Bottle to collect water since euph. is so shallow. Very turbid like a river from 90 km/hr winds previous friday.-- M140088",09/23/2014 08:30:00,9107,532,FLUORIDE DISSOLVED,,0.14,mg/L,0.02,,,,,358,0.02,61
ABS019,12SWE10157,SAS,OLD,05AA,1,AB05AA0490,"BEAUVAIS LAKE, COMPOSITE",49.41124,-114.102,0,13,133,N,"Wind Speed: 0 km/h. Wind Direction: NA. %Cloud: 100%. Waves: Ripples. -- Really rainy all week. Thunder and lightening. Stopped long enough for us to sample. Saw many birds, osprey fishing. Lake was really calm. -- Microcystin ID#: M120006",06/26/2012 09:00:00,9107,532,FLUORIDE DISSOLVED,,0.2,mg/L,0.02,,,,,358,0.02,26
ABS019,12SWE10490,SAS,OLD,05AA,1,AB05AA0490,"BEAUVAIS LAKE, COMPOSITE",49.41124,-114.102,0,13,133,N,Wind Speed: 0 km/h. Wind Direction: NA. %Cloud: 0. Waves: NA. -- Sampling with Ron from AB Environment. A few boats out fishing. Beautiful morning. -- Microcystin ID#: M120004,07/31/2012 08:00:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS019,12SWE11231,SAS,OLD,05AA,1,AB05AA0490,"BEAUVAIS LAKE, COMPOSITE",49.41124,-114.102,0,13,133,N,Wind Speed: 21 km/h. Wind Direction: W. %Cloud: 0%. Waves: 10 cm. -- Microcystin ID#: M120002,09/18/2012 07:30:00,9107,532,FLUORIDE DISSOLVED,,0.12,mg/L,0.02,,,,,358,0.02,26
ABS142,14SWL41201,SAS,OLD,05AA,1,AB05AA1370,"BEAVER MINES LAKE, COMPOSITE",49.37225,-114.29611,0,13,133,N,"Cloudy, post flood of 2014 experiencing washed out campground road; sampled from canoe.  profile sampled from center of lake",06/19/2014 12:30:00,9105,532,FLUORIDE DISSOLVED,,0.052,mg/L,0.0500,,,,,356,0.05,23
ABS142,14SWL42201,SAS,OLD,05AA,1,AB05AA1370,"BEAVER MINES LAKE, COMPOSITE",49.37225,-114.29611,0,13,133,N,"Clear skies, with increasing cloud cover throughout sampling, light winds and increasing, macrophytes present along northern and souther edges of lake. Turbidity and chlorophyll a values varied at 5.5 m depth likely due to macrophyte presence;",07/22/2014 12:30:00,9105,532,FLUORIDE DISSOLVED,,0.053,mg/L,0.0500,,,,,356,0.05,23
ABS142,14SWL43201,SAS,OLD,05AA,1,AB05AA1370,"BEAVER MINES LAKE, COMPOSITE",49.37225,-114.29611,0,13,133,N,floating particulate in water,08/07/2014 09:15:00,9105,532,FLUORIDE DISSOLVED,,0.058,mg/L,0.0500,,,,,356,0.05,23
ABS142,14SWL44201,SAS,OLD,05AA,1,AB05AA1370,"BEAVER MINES LAKE, COMPOSITE",49.37225,-114.29611,0,13,133,N,"blue sky, small white caps on lake: veliger sample includes a total volume haul of 77m; profile sampled from center of lake coordinates 49 22 24.3 N 114 17 36.3 W; large submerged macrophyte beds pulled from sediment by anchor to surface;",08/26/2014 11:00:00,9105,532,FLUORIDE DISSOLVED,,0.052,mg/L,0.0500,,,,,356,0.05,23
ABS142,14SWL45201,SAS,OLD,05AA,1,AB05AA1370,"BEAVER MINES LAKE, COMPOSITE",49.37225,-114.29611,0,13,133,N,warm fall day,09/30/2014 09:29:00,9105,532,FLUORIDE DISSOLVED,,0.052,mg/L,0.0500,,,,,356,0.05,23
ABS163,13SWE03800,SAS,NSA,05DE,1,AB05DE0560,"BUCK LAKE, COMPOSITE",52.98333,-114.76667,0,13,133,N,,06/13/2013 11:00:00,103124,532,FLUORIDE DISSOLVED,,0.056,mg/L,0.02,,,,,2924,0.02,34
ABS163,13SWE03877,SAS,NSA,05DE,1,AB05DE0560,"BUCK LAKE, COMPOSITE",52.98333,-114.76667,0,13,133,N,"sunny, calm day. 15pt comp. Aphan and gleo in water column",07/23/2013 10:40:00,103124,532,FLUORIDE DISSOLVED,,0.075,mg/L,0.02,,,,,2924,0.02,34
ABS163,13SWE03957,SAS,NSA,05DE,1,AB05DE0560,"BUCK LAKE, COMPOSITE",52.98333,-114.76667,0,13,133,N,"15pt comp. Calm with light breeze. ALS water chemistry taken at 1m and 10m. Closer to North end of lake, there was a bog bloom ~ 20cm below water surface. Aphan in water column was really thick. ~4 ot 5 boats on lake",08/14/2013 14:00:00,103124,532,FLUORIDE DISSOLVED,,0.084,mg/L,0.02,,,,,2924,0.02,34
ABS163,13SWE04128,SAS,NSA,05DE,1,AB05DE0560,"BUCK LAKE, COMPOSITE",52.98333,-114.76667,0,13,133,N,Used marked cable lengths - no anchor and windy.,10/04/2013 14:00:00,103124,532,FLUORIDE DISSOLVED,,0.066,mg/L,0.02,,,,,2924,0.02,34
