Station,SampleDateTime,MeasurementValue
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",12/11/2007 13:45:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",01/08/2008 13:15:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",02/12/2008 13:00:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",03/12/2008 11:15:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",04/09/2008 11:00:00,0.18
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/07/2008 07:10:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",06/09/2008 12:30:00,0.1
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",07/08/2008 11:30:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",08/12/2008 10:30:00,0.1
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",09/09/2008 11:00:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",10/09/2008 07:45:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",11/13/2008 12:30:00,0.16
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",12/10/2008 13:35:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",01/08/2009 14:10:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",02/11/2009 12:30:00,0.16
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",03/17/2009 13:00:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",04/07/2009 11:15:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/14/2009 11:00:00,0.13
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",06/09/2009 12:00:00,0.08
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",07/15/2009 11:30:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",08/11/2009 11:00:00,0.09
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",09/09/2009 11:00:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",10/08/2009 12:40:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",11/12/2009 12:15:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",12/10/2009 13:15:00,0.15
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",01/12/2010 12:30:00,0.13
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",02/09/2010 13:00:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",03/11/2010 12:00:00,0.13
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",04/13/2010 11:30:00,0.18
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/13/2010 13:30:00,0.16
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",06/09/2010 11:45:00,0.1
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",07/06/2010 11:30:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",08/09/2010 14:15:00,0.08
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",09/08/2010 11:45:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",10/12/2010 11:30:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",11/08/2010 12:20:00,0.11
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",12/07/2010 12:45:00,0.18
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",01/11/2011 13:30:00,0.16
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",02/08/2011 14:30:00,0.17
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",03/08/2011 12:30:00,0.14
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",04/12/2011 11:15:00,0.12
"ATHABASCA RIVER, AT OLD ENTRANCE TOWN SITE - TRANSECT",05/10/2011 11:30:00,0.15
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/17/1987 11:30:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",12/17/1987 10:45:00,0.18
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",01/20/1988 15:30:00,0.17
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",02/16/1988 11:00:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/16/1988 18:15:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",04/21/1988 11:00:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/19/1988 10:35:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/14/1988 12:00:00,0.15
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/26/1988 13:00:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/17/1988 15:00:00,0.76
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/14/1988 12:00:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/11/1988 11:30:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/16/1988 11:00:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",12/20/1988 13:00:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",01/17/1989 13:00:00,0.15
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",02/15/1989 12:15:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/15/1989 10:45:00,0.16
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/08/1989 15:00:00,0.05
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/06/1989 10:30:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/13/1989 09:45:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/12/1989 09:40:00,0.08
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/26/1989 12:00:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",12/19/1989 12:30:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",01/19/1990 10:30:00,0.16
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/02/1990 11:00:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/21/1990 11:00:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",04/19/1990 12:45:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/24/1990 08:30:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/13/1990 13:00:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/18/1990 13:00:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/21/1990 11:00:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/26/1990 11:15:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/25/1990 12:30:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",12/11/1990 11:00:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",01/23/1991 14:00:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/07/1991 12:50:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/26/1991 13:30:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/04/1991 14:00:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/17/1991 10:30:00,0.08
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/15/1991 11:30:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/18/1991 10:00:00,0.08
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/24/1991 12:00:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",12/04/1991 11:30:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",01/14/1992 11:00:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",02/12/1992 10:30:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/10/1992 10:15:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",04/21/1992 12:00:00,0.08
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/26/1992 14:45:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/25/1992 11:30:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/05/1992 16:00:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/09/1992 15:15:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/09/1992 15:20:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/09/1992 15:25:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/06/1992 13:40:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/12/1992 11:00:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",12/16/1992 11:30:00,0.15
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",01/19/1993 13:30:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",02/17/1993 14:00:00,0.16
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/16/1993 13:45:00,0.15
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/04/1993 12:00:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/29/1993 11:50:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/04/1993 13:30:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/14/1993 09:30:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/18/1993 11:40:00,0.17
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/10/1993 14:00:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",12/08/1993 11:00:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",02/01/1994 12:00:00,0.16
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",02/23/1994 13:00:00,0.15
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/15/1994 09:00:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/03/1994 12:00:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/06/1994 11:25:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/12/1994 15:00:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/29/1994 10:15:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/26/1994 11:00:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",01/04/1995 12:20:00,0.21
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",02/01/1995 11:15:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/15/1995 11:30:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",04/11/1995 13:30:00,0.18
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/10/1995 12:30:00,0.17
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/13/1995 08:30:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/10/1995 12:30:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/22/1995 14:00:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/26/1995 12:00:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/14/1995 12:00:00,0.17
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",12/19/1995 14:00:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",01/30/1996 13:40:00,0.29
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",02/27/1996 13:00:00,0.19
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",04/01/1996 13:00:00,0.17
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/07/1996 14:00:00,0.05
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/03/1996 13:00:00,0.2
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/03/1996 10:00:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/07/1996 10:45:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/10/1996 13:20:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/08/1996 09:50:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/12/1996 12:30:00,0.19
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",01/14/1997 13:35:00,0.18
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",02/10/1997 14:00:00,0.19
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",04/01/1997 14:00:00,0.24
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/12/1997 10:10:00,0.07
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/04/1997 13:50:00,0.18
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/22/1997 13:00:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/26/1997 12:20:00,0.17
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/23/1997 15:30:00,0.15
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/15/1997 12:15:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/17/1997 13:00:00,0.26
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/20/1998 15:00:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/24/1998 13:00:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/29/1998 13:15:00,0.15
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/25/1998 18:00:00,0.07
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/06/1998 11:00:00,0.33
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/20/1998 15:00:00,0.23
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/12/1998 13:05:00,0.5
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/31/1999 15:30:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/28/1999 16:00:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/26/1999 14:00:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/24/1999 13:05:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/14/1999 15:30:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/13/1999 12:15:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/17/1999 14:00:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/30/2000 13:00:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/20/2000 09:55:00,0.05
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/19/2000 14:40:00,0.08
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/22/2000 12:35:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/26/2000 13:00:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/17/2000 12:15:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/07/2000 12:15:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/30/2001 15:30:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/18/2001 15:00:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/09/2001 14:30:00,0.14
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/14/2001 13:00:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/25/2001 14:00:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/21/2001 15:00:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/15/2002 17:00:00,0.08
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/18/2002 16:35:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/23/2002 16:00:00,0.08
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/20/2002 15:40:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/16/2002 13:30:00,0.07
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/12/2002 13:00:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/14/2003 12:00:00,0.08
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/24/2003 12:35:00,0.07
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/29/2003 15:30:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/19/2003 14:00:00,0.07
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/15/2003 10:50:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/07/2003 12:45:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/12/2003 11:20:00,0.12
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",02/18/2004 16:00:00,0.13
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",03/17/2004 14:00:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/26/2004 11:00:00,0.11
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/15/2004 16:00:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/21/2004 13:20:00,0.05
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/11/2004 15:30:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/14/2004 14:00:00,0.08
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",10/14/2004 12:45:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",11/09/2004 11:00:00,0.1
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",05/04/2005 12:50:00,0.07
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",06/14/2005 14:00:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",07/13/2005 12:15:00,0.08
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",08/15/2005 12:40:00,0.09
"ATHABASCA RIVER, AT OLD FORT - RIGHT BANK",09/13/2005 10:40:00,0.09
